tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,supplier_reliability,delayed,actual_delay_days
TRK-770487,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,11,960,3099.55,0.59,0.45,0.73,1,4.4
TRK-356787,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,25,230,6941.64,0.8,0.24,0.75,1,6.2
TRK-809570,Rotterdam (NL),Port of Oakland (US),Maersk Line,16,121,2010.1,0.52,0.41,0.71,0,0.0
TRK-719176,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,32,1075,4810.37,0.61,0.39,0.99,1,8.3
TRK-198246,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,9,746,1481.02,0.9,0.92,0.93,1,4.3
TRK-731262,Shanghai Port (CN),Port of Oakland (US),DHL Express,25,1463,6433.79,0.6,0.8,0.75,1,8.0
TRK-850800,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,22,1121,5398.52,0.22,0.92,0.92,1,8.1
TRK-539898,Ningbo-Zhoushan (CN),Port of Seattle (US),Global Freight Air,34,1095,9990.71,0.13,0.23,0.71,0,0.0
TRK-391704,Singapore (SG),Port of Los Angeles (US),DHL Express,12,437,2899.87,0.92,0.6,0.78,1,4.7
TRK-832052,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,17,164,3235.09,0.41,0.31,0.7,0,0.0
TRK-263032,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,23,491,6061.07,0.12,0.37,0.73,0,0.0
TRK-197251,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,11,300,2155.02,0.11,0.33,0.79,0,0.0
TRK-988662,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,7,1995,2488.01,0.39,0.92,0.95,1,4.8
TRK-946335,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,27,497,5855.6,0.43,0.07,0.73,0,0.0
TRK-662275,Shanghai Port (CN),Port of Seattle (US),Maersk Line,11,663,3064.64,0.18,0.59,0.86,0,0.0
TRK-678856,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,33,1159,8449.89,0.68,0.84,0.88,1,10.1
TRK-479201,Yokohama (JP),Port of Long Beach (US),Maersk Line,25,895,4653.35,0.85,0.54,0.93,1,9.6
TRK-148050,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,11,2337,2549.75,0.43,0.79,0.95,1,2.9
TRK-183667,Singapore (SG),Port of Long Beach (US),Maersk Line,12,1534,2858.24,0.16,0.35,0.97,0,0.0
TRK-498591,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,26,1731,6150.48,0.11,0.28,0.77,0,0.0
TRK-270555,Hamburg Port (DE),Port of New York (US),DHL Express,11,1736,2288.68,0.6,0.5,0.71,1,3.8
TRK-802729,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,5,1761,1674.21,0.94,0.27,0.89,1,4.5
TRK-738720,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,31,500,6015.11,0.62,0.62,0.86,1,7.8
TRK-864544,Ningbo-Zhoushan (CN),Port of Long Beach (US),OceanNet Logistics,5,1247,2070.44,0.82,0.34,0.76,1,4.3
TRK-497887,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,23,1834,6064.95,0.4,0.89,0.74,1,6.9
TRK-330283,Rotterdam (NL),Port of New York (US),Maersk Line,29,2069,9885.64,0.28,0.64,0.94,0,0.0
TRK-340174,Singapore (SG),Port of Los Angeles (US),FedEx Supply Chain,29,980,4382.16,0.86,0.86,0.88,1,10.0
TRK-520651,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,7,1782,3519.23,0.85,0.75,0.89,1,2.9
TRK-694731,Rotterdam (NL),Port of New York (US),DHL Express,12,1543,4307.24,0.06,0.14,0.89,0,0.0
TRK-787277,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,33,2019,7614.49,0.45,0.95,0.75,1,8.7
TRK-249811,Hamburg Port (DE),Port of Long Beach (US),DHL Express,18,1400,3803.26,0.72,0.7,0.79,1,6.8
TRK-881177,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,31,569,5215.79,0.93,0.4,0.96,1,10.1
TRK-883300,Yokohama (JP),Port of Seattle (US),Global Freight Air,6,897,2136.14,0.83,0.26,0.84,1,4.0
TRK-518801,Hamburg Port (DE),Port of Long Beach (US),DHL Express,21,116,4237.61,0.3,0.85,0.92,1,8.0
TRK-634277,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,33,401,9516.41,0.82,0.32,0.81,1,10.7
TRK-214975,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,7,227,1419.17,0.81,0.89,0.72,1,3.4
TRK-930555,Rotterdam (NL),Port of Seattle (US),Global Freight Air,19,1786,4539.9,0.84,0.72,0.9,1,7.9
TRK-166613,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,20,1600,4593.99,0.28,0.6,0.72,0,0.0
TRK-590785,Yokohama (JP),Port of New York (US),Global Freight Air,11,135,2600.07,0.68,0.77,0.96,1,4.4
TRK-112038,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,32,933,7902.67,0.35,0.19,0.98,0,0.0
TRK-814825,Yokohama (JP),Port of New York (US),FedEx Supply Chain,26,2461,6787.88,0.08,0.32,0.86,0,0.0
TRK-216970,Hamburg Port (DE),Port of Seattle (US),DHL Express,9,2411,3757.16,0.61,0.13,0.71,0,0.0
TRK-575763,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,24,146,3544.8,0.17,0.92,0.91,1,5.3
TRK-624902,Singapore (SG),Port of Long Beach (US),Global Freight Air,28,930,7308.83,0.28,0.22,0.72,0,0.0
TRK-211579,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,13,2031,3217.26,0.19,0.28,0.86,0,0.0
TRK-982554,Rotterdam (NL),Port of Oakland (US),Global Freight Air,20,587,5110.4,0.52,0.64,0.83,1,7.2
TRK-308573,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,7,253,1837.6,0.06,0.15,0.71,0,0.0
TRK-665579,Singapore (SG),Port of Oakland (US),Maersk Line,21,2241,7265.77,0.48,0.14,0.84,0,0.0
TRK-728038,Hamburg Port (DE),Port of Seattle (US),Maersk Line,11,1735,2802.81,0.41,0.6,0.88,0,0.0
TRK-217301,Hamburg Port (DE),Port of New York (US),DHL Express,6,1731,3193.55,0.2,0.11,0.89,0,0.0
TRK-160738,Ningbo-Zhoushan (CN),Port of Oakland (US),Maersk Line,21,995,6061.5,0.66,0.57,0.74,1,8.0
TRK-189814,Rotterdam (NL),Port of Seattle (US),Maersk Line,15,1736,5235.32,0.64,0.24,0.78,0,0.0
TRK-897549,Yokohama (JP),Port of Long Beach (US),DHL Express,16,1730,3072.27,0.61,0.35,0.89,0,0.0
TRK-791798,Shenzhen Port (CN),Port of Oakland (US),DHL Express,33,1725,6325.92,0.5,0.67,0.8,1,11.0
TRK-377932,Yokohama (JP),Port of Oakland (US),OceanNet Logistics,28,828,5462.53,0.21,0.73,0.93,0,0.0
TRK-322086,Yokohama (JP),Port of Vancouver (CA),DHL Express,21,1222,4554.49,0.75,0.36,0.97,1,7.7
TRK-847581,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,21,1648,4890.87,0.39,0.53,0.84,0,0.0
TRK-559381,Yokohama (JP),Port of Seattle (US),Maersk Line,29,1465,4724.41,0.1,0.91,0.95,1,7.0
TRK-359947,Ningbo-Zhoushan (CN),Port of Los Angeles (US),FedEx Supply Chain,32,817,7040.03,0.49,0.12,0.73,0,0.0
TRK-122056,Yokohama (JP),Port of Oakland (US),DHL Express,16,1592,5482.33,0.76,0.13,0.84,0,0.0
TRK-717024,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Maersk Line,11,733,3373.07,0.37,0.16,0.74,0,0.0
TRK-842225,Rotterdam (NL),Port of Los Angeles (US),DHL Express,14,1053,2788.2,0.13,0.68,0.72,0,0.0
TRK-170674,Shanghai Port (CN),Port of New York (US),Maersk Line,22,1317,3369.66,0.94,0.39,0.81,1,8.6
TRK-639131,Ningbo-Zhoushan (CN),Port of New York (US),OceanNet Logistics,11,316,2193.07,0.69,0.48,0.81,1,5.4
TRK-324643,Yokohama (JP),Port of Long Beach (US),Global Freight Air,14,1981,3769.94,0.28,0.41,0.87,0,0.0
TRK-704201,Shenzhen Port (CN),Port of Long Beach (US),OceanNet Logistics,24,555,5573.68,0.72,0.58,0.98,1,7.2
TRK-946721,Shenzhen Port (CN),Port of Long Beach (US),Maersk Line,21,923,4680.14,0.77,0.93,0.86,1,7.5
TRK-201639,Rotterdam (NL),Port of Seattle (US),FedEx Supply Chain,20,302,3548.76,0.68,0.12,0.75,0,0.0
TRK-544154,Shenzhen Port (CN),Port of Seattle (US),Maersk Line,21,1649,6739.58,0.68,0.4,0.91,1,7.9
TRK-806073,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,14,1067,2585.79,0.35,0.2,0.89,0,0.0
TRK-163556,Shenzhen Port (CN),Port of Vancouver (CA),FedEx Supply Chain,12,639,3517.78,0.94,0.68,0.86,1,4.9
TRK-939482,Singapore (SG),Port of Los Angeles (US),DHL Express,24,1024,3558.17,0.9,0.42,0.87,1,9.3
TRK-300896,Ningbo-Zhoushan (CN),Port of Oakland (US),OceanNet Logistics,14,897,2743.56,0.07,0.39,0.94,0,0.0
TRK-246991,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,19,2324,5971.48,0.4,0.8,0.87,1,4.7
TRK-585100,Ningbo-Zhoushan (CN),Port of Los Angeles (US),OceanNet Logistics,13,610,1988.2,0.83,0.78,0.99,1,7.5
TRK-947272,Singapore (SG),Port of Oakland (US),Maersk Line,25,813,4848.87,0.46,0.17,0.98,0,0.0
TRK-153045,Rotterdam (NL),Port of Oakland (US),Maersk Line,17,1569,5800.32,0.09,0.29,0.71,0,0.0
TRK-197793,Singapore (SG),Port of Long Beach (US),DHL Express,30,773,8133.54,0.33,0.78,0.98,1,6.8
TRK-526156,Shenzhen Port (CN),Port of Seattle (US),DHL Express,31,1948,7679.8,0.43,0.76,0.89,1,10.0
TRK-520521,Shanghai Port (CN),Port of Long Beach (US),OceanNet Logistics,11,863,3409.82,0.62,0.55,0.73,1,5.5
TRK-102260,Shenzhen Port (CN),Port of New York (US),OceanNet Logistics,29,265,7884.35,0.32,0.52,0.9,0,0.0
TRK-399105,Shenzhen Port (CN),Port of Vancouver (CA),Global Freight Air,33,237,6826.25,0.28,0.46,0.98,0,0.0
TRK-794022,Rotterdam (NL),Port of Seattle (US),DHL Express,25,1573,6418.12,0.27,0.12,0.74,0,0.0
TRK-299122,Hamburg Port (DE),Port of Long Beach (US),Maersk Line,27,2242,7667.02,0.21,0.68,0.82,0,0.0
TRK-707314,Rotterdam (NL),Port of Oakland (US),Maersk Line,7,766,1710.28,0.22,0.09,0.75,0,0.0
TRK-884309,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,32,781,4620.74,0.16,0.46,0.76,0,0.0
TRK-712554,Shenzhen Port (CN),Port of Oakland (US),Global Freight Air,6,2068,2888.79,0.09,0.77,0.88,0,0.0
TRK-265080,Shanghai Port (CN),Port of Oakland (US),Maersk Line,19,1179,6352.65,0.1,0.3,0.93,0,0.0
TRK-992697,Ningbo-Zhoushan (CN),Port of Los Angeles (US),Global Freight Air,21,1990,4069.75,0.38,0.49,0.88,0,0.0
TRK-171262,Rotterdam (NL),Port of Long Beach (US),OceanNet Logistics,27,2225,8003.01,0.08,0.28,0.91,0,0.0
TRK-225710,Yokohama (JP),Port of Long Beach (US),Global Freight Air,19,1018,4646.97,0.15,0.45,0.85,0,0.0
TRK-723398,Shanghai Port (CN),Port of Oakland (US),Maersk Line,19,1315,4092.05,0.07,0.34,0.76,0,0.0
TRK-539589,Rotterdam (NL),Port of Oakland (US),Global Freight Air,30,225,7956.38,0.58,0.66,0.93,1,8.9
TRK-648177,Hamburg Port (DE),Port of New York (US),DHL Express,19,2375,5869.59,0.72,0.44,0.74,1,5.6
TRK-802258,Rotterdam (NL),Port of New York (US),DHL Express,10,1405,2753.15,0.5,0.35,0.97,0,0.0
TRK-378517,Shenzhen Port (CN),Port of Long Beach (US),FedEx Supply Chain,25,2424,4941.83,0.19,0.22,0.78,0,0.0
TRK-579434,Hamburg Port (DE),Port of Los Angeles (US),Maersk Line,28,1260,6120.85,0.42,0.93,0.73,1,8.5
TRK-580547,Yokohama (JP),Port of Oakland (US),Maersk Line,32,174,8209.98,0.28,0.2,0.89,0,0.0
TRK-176819,Yokohama (JP),Port of Long Beach (US),Global Freight Air,29,293,6360.51,0.3,0.74,0.75,1,7.3
TRK-378082,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,23,823,4254.69,0.15,0.6,0.78,0,0.0
TRK-356150,Hamburg Port (DE),Port of New York (US),DHL Express,9,2017,2572.87,0.53,0.1,0.8,0,0.0
TRK-559469,Singapore (SG),Port of Oakland (US),FedEx Supply Chain,14,360,4009.19,0.34,0.78,0.77,1,5.8
TRK-741390,Singapore (SG),Port of Vancouver (CA),Global Freight Air,21,2094,6021.27,0.76,0.15,0.95,0,0.0
TRK-108203,Rotterdam (NL),Port of Oakland (US),FedEx Supply Chain,32,335,8830.4,0.94,0.23,0.81,1,10.9
TRK-795613,Shanghai Port (CN),Port of Long Beach (US),FedEx Supply Chain,26,1955,8504.45,0.73,0.77,0.94,1,7.7
TRK-221035,Shanghai Port (CN),Port of Vancouver (CA),Global Freight Air,23,177,4212.7,0.84,0.4,0.94,1,7.1
