tracking_number,origin,destination,carrier,transit_days,quantity,total_cost,weather_risk_score,traffic_risk_score,delayed,actual_delay_days
TRK-770487,Shanghai Port (CN),Port of Los Angeles (US),FedEx Supply Chain,11,960,3099.55,0.59,0.45,0,0.0
TRK-356787,Ningbo-Zhoushan (CN),Port of Long Beach (US),Maersk Line,27,430,4976.72,0.18,0.64,0,0.0
TRK-809570,Rotterdam (NL),Port of Oakland (US),Maersk Line,25,869,7567.51,0.05,0.94,0,0.0
TRK-719176,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,5,559,1070.22,0.07,0.52,0,0.0
TRK-198246,Ningbo-Zhoushan (CN),Port of Long Beach (US),Global Freight Air,14,2147,3633.27,0.46,0.76,1,3.9
TRK-731262,Shanghai Port (CN),Port of Oakland (US),DHL Express,27,1367,4551.75,0.6,0.2,0,0.0
TRK-850800,Rotterdam (NL),Port of Vancouver (CA),Global Freight Air,11,1397,4628.08,0.78,0.32,1,3.0
TRK-539898,Ningbo-Zhoushan (CN),Port of Seattle (US),Global Freight Air,24,2239,4844.6,0.5,0.08,0,0.0
TRK-391704,Singapore (SG),Port of Los Angeles (US),DHL Express,18,2055,5204.96,0.43,0.24,0,0.0
TRK-832052,Shenzhen Port (CN),Port of New York (US),FedEx Supply Chain,8,1600,3825.94,0.9,0.86,1,4.6
TRK-263032,Ningbo-Zhoushan (CN),Port of New York (US),Maersk Line,20,555,4506.19,0.92,0.81,1,8.0
TRK-197251,Shenzhen Port (CN),Port of Los Angeles (US),FedEx Supply Chain,19,1176,6163.89,0.6,0.3,0,0.0
TRK-988662,Hamburg Port (DE),Port of Oakland (US),FedEx Supply Chain,33,2162,4922.5,0.43,0.41,1,6.9
TRK-946335,Shanghai Port (CN),Port of Vancouver (CA),OceanNet Logistics,15,1622,5044.31,0.74,0.12,0,0.0
TRK-662275,Shanghai Port (CN),Port of Seattle (US),Maersk Line,11,2188,5264.9,0.45,0.14,0,0.0
TRK-678856,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,27,1851,7428.15,0.3,0.56,0,0.0
TRK-479201,Yokohama (JP),Port of Long Beach (US),Maersk Line,7,1585,3322.84,0.26,0.28,0,0.0
TRK-148050,Rotterdam (NL),Port of Long Beach (US),FedEx Supply Chain,31,492,4725.18,0.45,0.23,0,0.0
TRK-183667,Singapore (SG),Port of Long Beach (US),Maersk Line,11,663,3064.64,0.18,0.59,0,0.0
TRK-498591,Hamburg Port (DE),Port of Seattle (US),FedEx Supply Chain,19,640,2813.13,0.31,0.2,0,0.0
TRK-270555,Hamburg Port (DE),Port of New York (US),DHL Express,6,1697,3001.99,0.77,0.22,0,0.0
TRK-802729,Hamburg Port (DE),Port of Vancouver (CA),Maersk Line,34,2081,10058.98,0.86,0.34,1,8.2
TRK-738720,Rotterdam (NL),Port of Long Beach (US),Global Freight Air,29,1406,8197.58,0.82,0.06,1,7.2
TRK-864544,Ningbo-Zhoushan (CN),Port of Long Beach (US),OceanNet Logistics,13,417,2001.56,0.35,0.9,1,4.1
TRK-497887,Hamburg Port (DE),Port of Vancouver (CA),Global Freight Air,28,1236,4882.74,0.27,0.68,1,7.3
TRK-330283,Rotterdam (NL),Port of New York (US),Maersk Line,9,798,2465.47,0.1,0.3,0,0.0
TRK-340174,Singapore (SG),Port of Los Angeles (US),FedEx Supply Chain,5,1761,1674.21,0.94,0.27,1,3.8
TRK-520651,Hamburg Port (DE),Port of Los Angeles (US),DHL Express,15,222,3834.11,0.47,0.94,1,5.0
TRK-694731,Rotterdam (NL),Port of New York (US),DHL Express,20,2291,5817.24,0.22,0.09,0,0.0
TRK-787277,Shenzhen Port (CN),Port of Seattle (US),OceanNet Logistics,24,2055,5392.57,0.25,0.63,0,0.0
TRK-249811,Hamburg Port (DE),Port of Long Beach (US),DHL Express,24,588,4898.02,0.89,0.17,1,6.2
TRK-881177,Yokohama (JP),Port of Oakland (US),FedEx Supply Chain,29,2069,9885.64,0.28,0.64,1,7.8
TRK-883300,Yokohama (JP),Port of Seattle (US),Global Freight Air,29,980,4382.16,0.86,0.86,1,10.1
TRK-518801,Hamburg Port (DE),Port of Long Beach (US),DHL Express,13,1782,5100.46,0.85,0.75,1,5.7
TRK-634277,Shenzhen Port (CN),Port of Los Angeles (US),Maersk Line,15,1748,4661.93,0.6,0.06,0,0.0
TRK-214975,Ningbo-Zhoushan (CN),Port of Vancouver (CA),DHL Express,34,1596,5512.54,0.19,0.54,0,0.0
TRK-930555,Rotterdam (NL),Port of Seattle (US),Global Freight Air,26,1056,6571.65,0.26,0.34,0,0.0
TRK-166613,Shenzhen Port (CN),Port of Seattle (US),Global Freight Air,24,1627,7551.87,0.64,0.56,1,5.6
TRK-590785,Yokohama (JP),Port of New York (US),Global Freight Air,23,569,3943.49,0.93,0.4,1,8.3
TRK-112038,Rotterdam (NL),Port of Vancouver (CA),Maersk Line,31,2174,8398.1,0.57,0.49,1,7.0
TRK-814825,Yokohama (JP),Port of New York (US),FedEx Supply Chain,33,915,4561.2,0.63,0.21,1,9.0
TRK-216970,Hamburg Port (DE),Port of Seattle (US),DHL Express,33,1169,7222.69,0.06,0.89,1,7.3
TRK-575763,Shanghai Port (CN),Port of Vancouver (CA),FedEx Supply Chain,25,706,7234.84,0.32,0.4,0,0.0
TRK-624902,Singapore (SG),Port of Long Beach (US),Global Freight Air,27,1284,4679.79,0.55,0.89,1,8.7
TRK-211579,Singapore (SG),Port of Vancouver (CA),FedEx Supply Chain,12,725,3945.74,0.18,0.52,0,0.0
TRK-982554,Rotterdam (NL),Port of Oakland (US),Global Freight Air,6,884,1784.87,0.69,0.55,1,2.8
TRK-308573,Ningbo-Zhoushan (CN),Port of New York (US),DHL Express,30,1990,7517.13,0.12,0.05,0,0.0
TRK-665579,Singapore (SG),Port of Oakland (US),Maersk Line,8,784,1391.5,0.41,0.1,0,0.0
TRK-728038,Hamburg Port (DE),Port of Seattle (US),Maersk Line,23,1266,3874.07,0.57,0.08,0,0.0
